"","V1","variable"
"1",0.35697458593208,"stdinvalsiI"
"2",0.217567651685505,"stdinvalsiI_2"
"3",0.0708143169476504,"educmother3"
"4",0.0366664009039042,"educfather4"
"5",0.0311325467339216,"late"
"6",0.0296784150802212,"province2"
"7",0.022241388079794,"female"
"8",0.0200772336370367,"occmother5"
"9",0.0174759179477659,"citizenship3"
"10",0.0164968688888679,"citizenship2"
"11",0.0164590116913475,"citizenship1"
"12",0.0161517801002764,"province5"
"13",0.0152835119991969,"citizenship4"
"14",0.0146731504722757,"province3"
"15",0.0140558580797613,"occmother3"
"16",0.0139155442431421,"occmother2"
"17",0.0130783808987999,"educmother4"
"18",0.0122164972560799,"immigrato_prima_gen"
"19",0.0119783783084088,"educmother2"
"20",0.0110248459783272,"province4"
"21",0.0108223537172699,"occfather2"
"22",0.0100020367750448,"occfather5"
"23",0.00950862998488276,"educfather2"
"24",0.00594039050316592,"educfather3"
"25",0.00469294419024903,"occfather4"
"26",0.00107135996502441,"occmother4"
"27",0,"(Intercept)"
"28",0,"occfather3"
